step,mean_reward,mean_group_reward,std_reward,time_elapsed,run_id,environment,algorithm,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb
10000,0.0,0.048,,93.662,SCTWRUN2,multi-agent,poca,485.421875,680.6875,29.33789473684211,619.1,,
20000,0.0,-0.025,,133.032,SCTWRUN2,multi-agent,poca,553.8950559701492,762.953125,35.852985074626865,619.1,,
30000,0.0,0.0,,155.299,SCTWRUN2,multi-agent,poca,672.8971354166666,1464.78125,46.35512820512822,619.1,,
40000,0.0,-0.042,,185.702,SCTWRUN2,multi-agent,poca,800.8425739247311,1470.28125,47.23494623655915,619.1,,
50000,0.0,0.187,,211.161,SCTWRUN2,multi-agent,poca,849.8245135613207,1470.9375,52.493396226415115,619.1,,
60000,0.0,-0.366,,245.134,SCTWRUN2,multi-agent,poca,910.5692962398374,1470.9375,52.386178861788636,619.1,,
70000,0.0,-0.239,,273.705,SCTWRUN2,multi-agent,poca,940.8349680656934,1470.9375,52.389051094890526,619.1,,
80000,0.0,0.16,,300.884,SCTWRUN2,multi-agent,poca,971.4513600498339,1470.9375,55.58704318936877,619.1,,
90000,0.0,-0.006,,334.615,SCTWRUN2,multi-agent,poca,1002.6103078358209,1470.9375,55.20955223880598,619.1,,
100000,0.0,-0.311,,369.293,SCTWRUN2,multi-agent,poca,1030.8471375338754,1470.9375,57.47560975609758,619.1,,
110000,0.0,0.0,,390.397,SCTWRUN2,multi-agent,poca,1046.1409855769232,1470.9375,57.22846153846155,619.1,,
120000,0.0,-0.182,,420.055,SCTWRUN2,multi-agent,poca,1067.1543898809523,1470.9375,59.09761904761906,619.1,,
130000,0.0,0.101,,446.397,SCTWRUN2,multi-agent,poca,1083.576408352018,1470.9375,58.71412556053814,619.1,,
140000,0.0,0.058,,484.72,SCTWRUN2,multi-agent,poca,1104.4202285640497,1470.9375,60.12582644628099,619.1,,
150000,0.0,0.019,,509.634,SCTWRUN2,multi-agent,poca,1116.4403855599214,1470.9375,59.75166994106089,619.1,,
160000,0.0,0.006,,539.109,SCTWRUN2,multi-agent,poca,1129.018500232342,1470.9375,61.119702602230475,619.1,,
170000,0.0,0.044,,571.334,SCTWRUN2,multi-agent,poca,1140.5940789473684,1470.9375,60.610526315789464,619.1,,
180000,0.0,0.152,,603.791,SCTWRUN2,multi-agent,poca,1151.2236992122719,1470.9375,61.717247097844115,619.1,,
190000,0.0,-0.164,,624.606,SCTWRUN2,multi-agent,poca,1157.3368027688603,1470.9375,61.4290529695024,619.1,,
200000,0.0,-0.4,,649.696,SCTWRUN2,multi-agent,poca,1164.4803240740741,1470.9375,61.10308641975308,619.1,,
210000,0.0,0.056,,698.933,SCTWRUN2,multi-agent,poca,1178.0761970946915,1470.9375,61.781061692969885,619.1,,
220000,0.0,-0.164,,734.212,SCTWRUN2,multi-agent,poca,1186.6099299863388,1470.9375,61.328142076502765,619.1,,
230000,0.0,0.0,,764.138,SCTWRUN2,multi-agent,poca,1193.7542240813648,1470.9375,62.190419947506605,619.1,,
240000,0.0,0.0,,786.121,SCTWRUN2,multi-agent,poca,1197.188197544643,1470.9375,61.945918367346984,619.1,,
